phase,angle_label,depth_left_m,depth_right_m,l1,cosine_distance,js_divergence,freq_l1
random,corner_pos_neg,5.0,7.0,5.644540215143934e-05,0.42504507303237915,0.168879434466362,0.004012878984212875
random,corner_pos_neg,7.0,10.0,6.0602862504310906e-05,0.49740439653396606,0.19096848368644714,0.00399742228910327
random,corner_pos_pos,1.0,3.0,6.0821585066150874e-05,0.4989384412765503,0.19164270162582397,0.003983295522630215
random,corner_pos_pos,3.0,5.0,5.879409218323417e-05,0.4649541974067688,0.18146342039108276,0.004024001769721508
random,corner_pos_pos,5.0,7.0,5.574580791289918e-05,0.4197601079940796,0.16534191370010376,0.003980175592005253
random,corner_pos_pos,7.0,10.0,6.073086115065962e-05,0.4947008490562439,0.1910334676504135,0.004023730754852295
random,x_neg_edge,1.0,3.0,6.056842175894417e-05,0.497008740901947,0.19109630584716797,0.004082791972905397
random,x_neg_edge,3.0,5.0,6.087557994760573e-05,0.49818265438079834,0.1915217489004135,0.00400881702080369
random,x_neg_edge,5.0,7.0,5.300725024426356e-05,0.372103214263916,0.15154877305030823,0.003864676458761096
random,x_neg_edge,7.0,10.0,5.714349390473217e-05,0.43644875288009644,0.17225629091262817,0.004014230333268642
random,x_pos_edge,1.0,3.0,6.122096965555102e-05,0.5013529062271118,0.19424784183502197,0.004051233641803265
random,x_pos_edge,3.0,5.0,6.040942025720142e-05,0.4887763261795044,0.19052477180957794,0.003997673746198416
random,x_pos_edge,5.0,7.0,5.265263462206349e-05,0.3723300099372864,0.14918240904808044,0.003852932248264551
random,x_pos_edge,7.0,10.0,5.722731657442637e-05,0.4422857165336609,0.17269273102283478,0.004016766790300608
random,y_neg_edge,1.0,3.0,6.089951057219878e-05,0.4993222951889038,0.19338960945606232,0.004054279066622257
random,y_neg_edge,3.0,5.0,6.112016853876412e-05,0.5009417533874512,0.1946413218975067,0.004027910530567169
random,y_neg_edge,5.0,7.0,5.2762479754164815e-05,0.3728809356689453,0.14992547035217285,0.0038635635282844305
random,y_neg_edge,7.0,10.0,5.715424049412832e-05,0.4349548816680908,0.17138603329658508,0.0039981952868402
random,y_pos_edge,1.0,3.0,6.097311415942386e-05,0.4982139468193054,0.19291435182094574,0.004036348313093185
random,y_pos_edge,3.0,5.0,6.0448463045759127e-05,0.4924200177192688,0.19026309251785278,0.004032261669635773
random,y_pos_edge,5.0,7.0,5.2893963584210724e-05,0.377316951751709,0.15075980126857758,0.003905561286956072
random,y_pos_edge,7.0,10.0,5.674475687555969e-05,0.4302099943161011,0.17024560272693634,0.003947683144360781
spiral,center,1.0,3.0,3.128522803308442e-05,0.20459407567977905,0.06879498064517975,0.0013097604969516397
spiral,center,3.0,5.0,1.6202138795051724e-05,0.06445056200027466,0.02265552245080471,0.0014383719535544515
spiral,center,5.0,7.0,1.2474625499248049e-11,-2.384185791015625e-07,2.0042667525643765e-09,1.1351377615653746e-09
spiral,center,7.0,10.0,1.266963964297041e-11,-3.5762786865234375e-07,-3.9285419362045104e-09,1.1216729767227207e-09
